jobid, gpu type, walltime (s)
dde4a8c66d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1656
de1835c46d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
de5119206d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
de8bf9b46d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
dec4142a6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1908
def89a6a6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1908
df2a5e746d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
df5ca6d66d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1872
df9432866d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
dfc1ce3a6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
dff734e46d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
e02fbb846d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
e06457cc6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
e09731386d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1548
e0cd15e66d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1620
e10404706d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
e138ab626d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
e16bfdfa6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1620
e19fbf006d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
e1d5ade06d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
e209db1a6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
e23ea91c6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1944
e2757c766d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
e2ab387a6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
e2d4c1ae6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 2016
e3019aee6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
e331c8226d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
e36851446d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
e39ea5286d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 2124
e3d468d46d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
e40dfbc66d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
e44c0da86d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1944
e48aff7c6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
e4d849bc6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1692
e51a29c26d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
e55fb3986d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
e599fca66d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
e5d472146d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
e60dd6806d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
e64095666d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
e67b76686d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
e6b26f1a6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
e6e88a786d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1188
e7232e766d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1584
