Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State       PID/Program name    
tcp        0      0 172.31.16.161:9618      172.31.13.155:42405     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.14.30:37276      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.4.239:42018      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.70.255:45447     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.75.187:41582     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.4.194:43566      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.0.194:34660      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.9.125:44575      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.12.173:42131     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.8.66:38002       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.2.21:38325       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.71.213:41284     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.11.109:33594     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.14.171:34208     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.70.81:33583      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.68.203:40118     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.145:45468     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.66.255:37217     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.12.15:44040      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.69.185:40486     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.75:45761      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.77.215:45494     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.79.77:37864      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.79.207:45868     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.1.127:37399      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.69.164:41866     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.13.221:43808     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.6.121:45221      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.13.117:37106     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.77.173:37399     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.66.163:38786     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.11.99:33411      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.78.93:41985      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.13.95:33134      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.79.65:44559      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.70.185:39169     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.64.98:34932      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.13.177:39206     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.76.190:38162     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.7.153:43630      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.13.6:42290       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.67.199:45214     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.74.6:42338       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.12.230:33376     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.64.236:33708     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.2.83:45637       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.132:41563     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.0.178:45681      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.69.14:37305      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.6.113:40027      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.65.109:46341     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.14.14:37247      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.78.242:37919     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.7.153:33646      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.15.31:36999      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.77.215:32950     ESTABLISHED 2481/condor_collect 
