jobid, request_cpu, used_cpu, gpu type, gpu id, gpu memory, host, walltime (s), completion date
500a84ee6d8111eca4d7141877284d92, 2, 1.25, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, , slot1_1@glidein_294_904365280@osg-wn-61f12860-000017-ldvhh, 2268, 2022-02-09T22:46:49.137541
503af1c46d8111ec934d141877284d92, 2, 1.22, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/8/0, , slot1_1@glidein_291_796386779@osg-wn-61f12860-00001e-cbw4w, 1332, 2022-02-09T23:31:49.595158
5066ccd66d8111ec83fa141877284d92, 2, 1.28, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/13/0, , slot1_1@glidein_302_159036897@osg-wn-61f12860-00001c-fpfrv, 1728, 2022-02-09T23:56:58.654987
5093e78e6d8111ec934d141877284d92, 2, 1.29, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/9/0, , slot1_1@glidein_295_38815520@osg-wn-61f12860-00001d-69gxf, 1512, 2022-02-09T22:46:50.389292
50c40ef06d8111ec83fa141877284d92, 2, 1.25, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/12/0, , slot1_1@glidein_300_200527570@osg-wn-61f12860-000019-mn7ts, 1224, 2022-02-09T23:31:49.500508
50fbd6506d8111ec934d141877284d92, 2, 1.3, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/12/0, , slot1_1@glidein_300_200527570@osg-wn-61f12860-000019-mn7ts, 1476, 2022-02-09T22:46:49.023391
51291eee6d8111eca4d7141877284d92, 2, 1.32, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/11/0, , slot1_1@glidein_299_102137563@osg-wn-61f12860-00001a-t8qbb, 1872, 2022-02-09T22:58:09.133050
51573f9a6d8111eca422141877284d92, 2, 1.23, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/10/0, , slot1_1@glidein_297_60331269@osg-wn-61f12860-00001b-bspvg, 1332, 2022-02-09T22:49:39.844695
51855e486d8111ec934d141877284d92, 2, 1.27, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, , slot1_1@glidein_298_153724880@osg-wn-61f12860-000025-bp8sn, 1224, 2022-02-09T23:48:35.264132
51b8f8f26d8111ec9af0141877284d92, 2, 1.25, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/13/0, , slot1_1@glidein_302_159036897@osg-wn-61f12860-00001c-fpfrv, 1296, 2022-02-09T23:03:44.513475
