#GPU, mean, median
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8964
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8964
A100-SXM4-40GB MIG 3g.20gb pa100m2, 9000
A100-SXM4-40GB MIG 3g.20gb pa100m2, 9000
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 9000
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8964
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8856
A100-SXM4-40GB MIG 3g.20gb pa100m2, 9000
A100-SXM4-40GB MIG 3g.20gb pa100m2, 9108
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8964
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 9000
A100-SXM4-40GB MIG 3g.20gb pa100m2, 9000
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8964
A100-SXM4-40GB MIG 3g.20gb pa100m2, 9000
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8964
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8892
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 9000
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8964
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8964
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7272
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7272
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7344
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7344
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7307
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7164
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7164
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7164
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7164
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7128
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7164
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7164
