jobid, request_cpu, used_cpu, gpu type, gpu id, gpu memory, host, walltime (s), completion date
c445272c9a6511ec8cfe141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-f1b3bbdf, 11019, osg-wn-621fba4c-000224--1-t8jnq.k8s-haosu-04-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6768, 2022-03-04T13:56:03.015605
c45d86009a6511ecb45b141877284d92, 2, 1.51, NVIDIA GeForce GTX 1080 Ti, GPU-e382c796, 11178, osg-wn-621fba4c-00012f--1-w4pps.k8s-chase-ci-01-noc-ucsb-edu.osg-icecube.nrp-nautilus.io, 8676, 2022-03-04T04:55:13.696843
c478794c9a6511eca198141877284d92, 2, 1.8, NVIDIA GeForce RTX 2080 Ti, GPU-064f54c4, 11019, osg-wn-621fba4c-0000c5--1-ztxr9.k8s-haosu-07-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6408, 2022-03-03T21:00:39.103274
c4909d609a6511ecb45b141877284d92, 2, 1.39, NVIDIA GeForce GTX 1080 Ti, GPU-822247d2, 11178, osg-wn-621fba4c-0000d0--1-xjnz8.fiona8-1-calit2-uci-edu.osg-icecube.nrp-nautilus.io, 8892, 2022-03-03T22:02:09.604706
c4ae00769a6511ec8cfe141877284d92, 2, 2.24, Tesla V100-SXM2-16GB, GPU-285c4c52, 16160, osg-wn-622160d9-000001-9t49d.gke-icecube-pv100-2262229f-dljw.gke-icecube.gke.googleusercontent.com, 7416, 2022-03-04T02:52:20.904989
c4c712f09a6511ecb45b141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-d06a6c59, 11019, osg-wn-621fba4c-000090--1-npxg8.k8s-haosu-19-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6012, 2022-03-03T16:03:21.255681
c50c13aa9a6511ecb45b141877284d92, 2, 1.89, NVIDIA GeForce RTX 2080 Ti, GPU-d6139435, 11019, osg-wn-621fba4c-0000b1--1-5nzxn.k8s-haosu-07-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6192, 2022-03-03T19:38:32.480895
c5274b709a6511ec8cfe141877284d92, 2, 1.93, NVIDIA GeForce RTX 2080 Ti, GPU-0473c82d, 11019, osg-wn-621fba4c-0000b9--1-25kdw.k8s-haosu-08-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6084, 2022-03-03T20:14:32.105452
c54499be9a6511ecb80b141877284d92, 2, 1.38, NVIDIA GeForce GTX 1080 Ti, GPU-2187120a, 11178, osg-wn-621fba4c-0000c4--1-fvjst.k8s-gpu-2-ucsc-edu.osg-icecube.nrp-nautilus.io, 8928, 2022-03-03T21:46:50.978765
c55be9349a6511ecb80b141877284d92, 2, 1.85, NVIDIA GeForce RTX 2080 Ti, GPU-1b9d9ca0, 11019, osg-wn-621fba4c-000224--1-58xc4.k8s-haosu-18-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6120, 2022-03-04T13:51:25.262322
c5757ea89a6511ecb80b141877284d92, 2, 1.6, NVIDIA GeForce RTX 2080 Ti, GPU-e4544ed2, 11019, osg-wn-621fba4c-0000a0--1-2mbhz.k8s-haosu-10-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6408, 2022-03-03T16:23:55.873911
c58ed61e9a6511eca198141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-e7ea0e2a, 11019, osg-wn-621fba4c-000073--1-bddww.k8s-haosu-21-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6876, 2022-03-03T13:19:33.116055
c5a86b069a6511ecb80b141877284d92, 2, 2.13, NVIDIA GeForce RTX 2080 Ti, GPU-2be99f48, 11019, osg-wn-621fba4c-000098--1-vhw5m.k8s-haosu-19-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6300, 2022-03-03T15:40:24.268263
c5c3ecf09a6511ecb80b141877284d92, 2, 1.61, NVIDIA GeForce GTX 1080 Ti, GPU-00150ee4, 11178, osg-wn-621fba4c-00006b--1-7rfzw.fiona8-0-calit2-uci-edu.osg-icecube.nrp-nautilus.io, 8964, 2022-03-03T13:47:36.335338
c5ddaa8c9a6511ec8006141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-e7ea0e2a, 11019, osg-wn-621fba4c-000094--1-6j454.k8s-haosu-21-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6336, 2022-03-03T15:42:59.935252
c5f65d849a6511ec9519141877284d92, 2, 1.92, NVIDIA GeForce RTX 2080 Ti, GPU-fc789b3a, 11019, osg-wn-621fba4c-000090--1-6msz8.k8s-haosu-04-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6084, 2022-03-03T16:05:54.037560
c615ea5a9a6511eca198141877284d92, 2, 1.29, NVIDIA GeForce GTX 1080 Ti, GPU-4227859f, 11178, osg-wn-621fba4c-00008a--1-7dpr2.fiona8-1-calit2-uci-edu.osg-icecube.nrp-nautilus.io, 8748, 2022-03-03T15:22:15.791634
c62d1cc09a6511ec8cfe141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-c73ec8f1, 11019, osg-wn-621fba4c-0000e7--1-m99jb.k8s-haosu-19-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6228, 2022-03-03T23:29:15.082161
c64941c09a6511ec8cfe141877284d92, 2, 1.35, NVIDIA GeForce GTX 1080 Ti, GPU-1270af80, 11178, osg-wn-621fba4c-00010a--1-4bmjf.k8s-gpu-2-ucsc-edu.osg-icecube.nrp-nautilus.io, 8928, 2022-03-04T02:47:18.294397
c66c14b69a6511ec8cfe141877284d92, 2, 1.78, NVIDIA GeForce RTX 2080 Ti, GPU-064f54c4, 11019, osg-wn-621fba4c-0000a1--1-nxk2n.k8s-haosu-07-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6444, 2022-03-03T18:29:20.726841
c68b57369a6511ec8cfe141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-283ddd24, 11019, osg-wn-621fba4c-00008c--1-mtcvg.k8s-chase-ci-10-calit2-optiputer-net.osg-icecube.nrp-nautilus.io, 6876, 2022-03-03T14:33:35.772570
c6a776149a6511ec8cfe141877284d92, 2, 1.78, NVIDIA GeForce RTX 2080 Ti, GPU-06a96561, 11019, osg-wn-621fba4c-0000a9--1-22xlx.k8s-haosu-23-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6516, 2022-03-03T18:42:12.474455
c6c1e3469a6511ec8cfe141877284d92, 2, 1.91, NVIDIA GeForce RTX 2080 Ti, GPU-c865dbaa, 11019, osg-wn-621fba4c-00008a--1-fmpnj.k8s-haosu-06-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6228, 2022-03-03T14:41:17.359457
c6dafdcc9a6511eca198141877284d92, 2, 1.94, NVIDIA GeForce RTX 2080 Ti, GPU-d6139435, 11019, osg-wn-621fba4c-00008d--1-lmh69.k8s-haosu-07-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6264, 2022-03-03T14:41:17.379015
c702bb3c9a6511ecb80b141877284d92, 2, 1.9, NVIDIA GeForce RTX 2080 Ti, GPU-eb1d7524, 11019, osg-wn-621fba4c-0000c4--1-z27sl.k8s-haosu-07-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6264, 2022-03-03T21:08:23.224840
c725fad49a6511eca198141877284d92, 2, 1.28, NVIDIA GeForce GTX 1080 Ti, GPU-e472a01c, 11178, osg-wn-621fba4c-00008e--1-64rjx.suncave-33.osg-icecube.nrp-nautilus.io, 8640, 2022-03-03T15:11:59.353086
c74327d09a6511ecb80b141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-89d95783, 11019, osg-wn-621fba4c-000092--1-vkwxp.nrp-g1-nysernet-org.osg-icecube.nrp-nautilus.io, 6480, 2022-03-03T14:51:29.647853
c75dda309a6511eca198141877284d92, 2, 1.28, NVIDIA GeForce GTX 1080 Ti, GPU-44b117bd, 11178, osg-wn-621fba4c-000092--1-8f7tc.fiona8-1-calit2-uci-edu.osg-icecube.nrp-nautilus.io, 8820, 2022-03-03T15:32:38.356093
c77835f69a6511ec8006141877284d92, 2, 1.87, NVIDIA GeForce RTX 2080 Ti, GPU-19484bb1, 11019, osg-wn-621fba4c-0000c9--1-sh4x6.k8s-haosu-01-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6048, 2022-03-03T21:05:45.829354
c79167929a6511ecb45b141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-b8e19c5d, 11019, osg-wn-621fba4c-0000a2--1-t955p.k8s-haosu-21-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6300, 2022-03-03T18:39:34.972465
c7aa59c89a6511ecb45b141877284d92, 2, 1.83, NVIDIA GeForce RTX 2080 Ti, GPU-a0a73add, 11019, osg-wn-621fba4c-000099--1-f9vbr.k8s-haosu-01-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6264, 2022-03-03T15:40:24.339419
c7c8138c9a6511ecb80b141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-e7ea0e2a, 11019, osg-wn-621fba4c-0000aa--1-kp2t6.k8s-haosu-21-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6300, 2022-03-03T18:11:28.456711
c7e1969a9a6511ecb80b141877284d92, 2, 2.08, NVIDIA GeForce RTX 2080 Ti, GPU-b8e19c5d, 11019, osg-wn-621fba4c-0000c8--1-hqmvf.k8s-haosu-21-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6264, 2022-03-03T21:08:23.235089
c7fc721c9a6511ecb45b141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-ebb74120, 11019, osg-wn-621fba4c-0000a5--1-vwf28.k8s-haosu-16-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6084, 2022-03-03T18:08:55.232685
c81431e09a6511ecb45b141877284d92, 2, 1.98, NVIDIA GeForce RTX 2080 Ti, GPU-70d155a4, 11019, osg-wn-621fba4c-00009d--1-b6cpp.k8s-haosu-20-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6192, 2022-03-03T16:00:48.405076
c82ea4b29a6511eca198141877284d92, 2, 1.24, NVIDIA GeForce GTX 1080 Ti, GPU-e472a01c, 11178, osg-wn-621fba4c-00010c--1-5fpg6.suncave-33.osg-icecube.nrp-nautilus.io, 8712, 2022-03-04T02:37:01.813047
c8488c889a6511ec8cfe141877284d92, 2, 1.87, NVIDIA GeForce RTX 2080 Ti, GPU-09772755, 11019, osg-wn-621fba4c-0000b4--1-vw8vb.k8s-haosu-15-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 5976, 2022-03-03T19:00:16.292156
c860d6269a6511ec8cfe141877284d92, 2, 1.31, NVIDIA GeForce GTX 1080 Ti, GPU-1270af80, 11178, osg-wn-621fba4c-0000c4--1-4626x.k8s-gpu-2-ucsc-edu.osg-icecube.nrp-nautilus.io, 8928, 2022-03-03T21:46:50.998590
c87a970a9a6511ec8006141877284d92, 2, 2.07, NVIDIA GeForce RTX 2080 Ti, GPU-2be99f48, 11019, osg-wn-621fba4c-0000a5--1-rdznt.k8s-haosu-19-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6408, 2022-03-03T18:14:01.501585
c8975c5a9a6511ec8cfe141877284d92, 2, 2.15, NVIDIA GeForce RTX 2080 Ti, GPU-30156b75, 11019, osg-wn-621fba4c-0000b1--1-drwrl.k8s-haosu-22-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6228, 2022-03-03T18:39:35.001675
c8b4d64a9a6511ec8006141877284d92, 2, 1.8, NVIDIA GeForce RTX 2080 Ti, GPU-3811a15e, 11019, osg-wn-621fba4c-0000a0--1-m2wz2.k8s-haosu-06-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6120, 2022-03-03T16:16:13.636454
c8cd3a0a9a6511eca198141877284d92, 2, 1.99, NVIDIA GeForce RTX 2080 Ti, GPU-70d155a4, 11019, osg-wn-621fba4c-0000ac--1-wm8zj.k8s-haosu-20-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6300, 2022-03-03T18:34:27.653724
c8e9c79c9a6511ecb45b141877284d92, 2, 1.66, NVIDIA GeForce GTX 1080 Ti, GPU-257d3aea, 11178, osg-wn-621fba4c-000091--1-pr7zt.fiona8-0-calit2-uci-edu.osg-icecube.nrp-nautilus.io, 8892, 2022-03-03T16:18:46.079416
c9026b449a6511ecb80b141877284d92, 2, 1.82, NVIDIA GeForce RTX 2080 Ti, GPU-a0a73add, 11019, osg-wn-621fba4c-0000a6--1-x6g4v.k8s-haosu-01-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6300, 2022-03-03T18:11:28.433552
c922b6b09a6511ec8cfe141877284d92, 2, 1.92, NVIDIA GeForce RTX 2080 Ti, GPU-5e84af28, 11019, osg-wn-621fba4c-0001a7--1-dcrqb.k8s-haosu-18-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6084, 2022-03-04T09:10:03.293480
c943505a9a6511ecb80b141877284d92, 2, 1.85, NVIDIA GeForce RTX 2080 Ti, GPU-d6139435, 11019, osg-wn-621fba4c-00008a--1-hvlst.k8s-haosu-07-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6192, 2022-03-03T17:10:03.344948
c961ebbe9a6511ecb45b141877284d92, 2, 1.85, NVIDIA GeForce RTX 2080 Ti, GPU-bd9ce036, 11019, osg-wn-621fba4c-0001c6--1-568hc.k8s-haosu-08-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6372, 2022-03-04T10:12:52.383060
c97e89229a6511ecb45b141877284d92, 2, 1.93, NVIDIA GeForce RTX 2080 Ti, GPU-a0a73add, 11019, osg-wn-621fba4c-0000bd--1-zwbqj.k8s-haosu-01-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6300, 2022-03-03T20:40:10.880310
c997313e9a6511ecb45b141877284d92, 2, 1.77, NVIDIA GeForce RTX 2080 Ti, GPU-235130e4, 11019, osg-wn-621fba4c-000095--1-jhpjw.k8s-haosu-02-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6192, 2022-03-03T16:05:53.958274
